article_id,url,duplicate_type,count,vector_store_file_ids,status
50424308246169,https://support.fyi.app/hc/en-us/articles/50424308246169-Editing-Employee-Details,vector_store,3,file-HrKMr2F3raykrXJxTr9ZPe; file-R7FCYhRqrdd3gEjSqre2Qr; file-9raEDqy2Q2KdPHdJUxn6hT,completed; completed; completed
34141611701401,https://support.fyi.app/hc/en-us/articles/34141611701401-Process-Filter-Details-CSV-Data-Import,vector_store,2,file-Gzb3oqN5HRkgTuDntK3wUv; file-L8qVsZCvDMLY6fNpKD77cV,completed; completed
29365801756441,https://support.fyi.app/hc/en-us/articles/29365801756441-Managing-Work-In-Progress-WIP,vector_store,2,file-6i7T1YMUL9XkHcZgGQsCYN; file-DcKKg3ywfDtMUqKYUTiCFX,completed; completed
20528262198169,https://support.fyi.app/hc/en-us/articles/20528262198169-Create-a-Progress-Final-or-Disbursement-Invoice,vector_store,2,file-X3acGjBj2p3xTzJNoUiw2m; file-1RtSP7Kzkp5FAfsc8ggWH3,completed; completed
18925916046873,https://support.fyi.app/hc/en-us/articles/18925916046873-Practice-Management-Sync-app,vector_store,2,file-5c7zdSjjLbYehVnGRewiGJ; file-Ta52Uddj3T9c5gqaodxs8e,completed; completed
16808757090713,https://support.fyi.app/hc/en-us/articles/16808757090713-Synchronising-Clients-Jobs-and-Users-with-IRIS-United-Kingdom-only,vector_store,2,file-5GaZ9vuLe8SZXAjTYkR3kP; file-P1boAKSADCfMrHdT9ayJSg,completed; completed
4410623875481,https://support.fyi.app/hc/en-us/articles/4410623875481-Synchronising-Clients-Users-and-Jobs-with-MYOB-AE-AO-Australia-New-Zealand-Only,vector_store,2,file-6BNvmxTQogu71AvrNXwgom; file-RiPkaktbbLe3Z5N1v63UXf,completed; completed
360042795951,https://support.fyi.app/hc/en-us/articles/360042795951-Displaying-Tasks-from-your-Home,vector_store,2,file-RQmDLCLYz9DjjPbdkZRqrx; file-KHXu2u2HLbnnCVPykgvd2h,completed; completed
360042699071,https://support.fyi.app/hc/en-us/articles/360042699071-Displaying-and-Updating-Time-and-Disbursements,vector_store,2,file-3hiDJ5LwuNth7ytzcyoVjc; file-GFPrD3vsUqhwPB3vKv2m4c,completed; completed
360028037071,https://support.fyi.app/hc/en-us/articles/360028037071-Creating-a-Stand-Alone-Task,vector_store,2,file-Vxm3e6a6S9EnwVgNStxeaJ; file-UFmaBrGSCMpvX1JRKwVTwK,completed; completed
360027859891,https://support.fyi.app/hc/en-us/articles/360027859891-Digital-Signatures-using-DocuSign,vector_store,2,file-8TukCisMFg83jimKdZsUEJ; file-WMzQ1Qzv7X4YNdb9sjQGsb,completed; completed
27596576922521,https://support.fyi.app/hc/en-us/articles/27596576922521-Managing-FYI-Excel-Master-Report-Templates,vector_store,2,file-4NUmHxY7ippc92zTPRfBVV; file-FBQ6ECb5ThWbLEJZ1R5uSv,completed; completed
23374160428697,https://support.fyi.app/hc/en-us/articles/23374160428697-Opening-and-Editing-Invoices,vector_store,2,file-AHihwHXLkek569WtqLsD2j; file-MYgQkw51awh2n4yUVJNiTh,completed; completed
