article_id,url,status,in_zendesk,published,duplicate_count,error
50425118730905,https://support.fyi.app/hc/en-us/articles/50425118730905-Creating-Employees,OK,True,True,1,
50424308246169,https://support.fyi.app/hc/en-us/articles/50424308246169-Editing-Employee-Details,OK,True,True,1,
48955757450777,https://support.fyi.app/hc/en-us/articles/48955757450777-Create-an-Interim-Invoice,OK,True,True,1,
44049732118169,https://support.fyi.app/hc/en-us/articles/44049732118169-Company-Annual-Review-Job,OK,True,True,1,
42268604691481,https://support.fyi.app/hc/en-us/articles/42268604691481-Create-Time-on-Sent-Emails,OK,True,True,1,
42132602796569,https://support.fyi.app/hc/en-us/articles/42132602796569-Monthly-Practice-Reports,OK,True,True,1,
40433121372697,https://support.fyi.app/hc/en-us/articles/40433121372697-Integration-with-DASH-Software,OK,True,True,1,
38647650327577,https://support.fyi.app/hc/en-us/articles/38647650327577-Client-Birthday-Email,OK,True,True,1,
38307032675993,https://support.fyi.app/hc/en-us/articles/38307032675993-Recurring-Invoices,OK,True,True,1,
37356512057497,https://support.fyi.app/hc/en-us/articles/37356512057497-Aged-Receivables-Report,OK,True,True,1,
34141611701401,https://support.fyi.app/hc/en-us/articles/34141611701401-Process-Filter-Details-CSV-Data-Import,OK,True,True,1,
33047504391193,https://support.fyi.app/hc/en-us/articles/33047504391193-Creating-Employee-Documents,OK,True,True,1,
32872378645273,https://support.fyi.app/hc/en-us/articles/32872378645273-ATOmate-Collaborate-Upload,OK,True,True,1,
32537234672665,https://support.fyi.app/hc/en-us/articles/32537234672665-Bulk-Email-Invite-Clients-to-Collaborate,OK,True,True,1,
32535956428057,https://support.fyi.app/hc/en-us/articles/32535956428057-Auto-Share-Signed-Documents-via-Collaborate,OK,True,True,1,
30840448912537,https://support.fyi.app/hc/en-us/articles/30840448912537-Overdue-Invoices-Notification,OK,True,True,1,
30839766186905,https://support.fyi.app/hc/en-us/articles/30839766186905-Draft-Invoice-Notification,OK,True,True,1,
30839395903641,https://support.fyi.app/hc/en-us/articles/30839395903641-Draft-Disbursements-Reminder,OK,True,True,1,
30838719279769,https://support.fyi.app/hc/en-us/articles/30838719279769-Draft-Time-Entry-Reminder,OK,True,True,1,
30838179940889,https://support.fyi.app/hc/en-us/articles/30838179940889-Employee-Probation,OK,True,True,1,
29586223638425,https://support.fyi.app/hc/en-us/articles/29586223638425-Creating-Clients-in-FYI,OK,True,True,1,
29365801756441,https://support.fyi.app/hc/en-us/articles/29365801756441-Managing-Work-In-Progress-WIP,OK,True,True,1,
24644433548313,https://support.fyi.app/hc/en-us/articles/24644433548313-Create-a-Mail-Merge-for-Clients,OK,True,True,1,
23455736414617,https://support.fyi.app/hc/en-us/articles/23455736414617-Creating-Disbursements,OK,True,True,1,
20984103381913,https://support.fyi.app/hc/en-us/articles/20984103381913-Integration-with-Content-Snare,OK,True,True,1,
20618432017049,https://support.fyi.app/hc/en-us/articles/20618432017049-Connecting-MYOB-Practice-Management-formerly-GreatSoft,OK,True,True,1,
20528262198169,https://support.fyi.app/hc/en-us/articles/20528262198169-Create-a-Progress-Final-or-Disbursement-Invoice,OK,True,True,1,
19321878309657,https://support.fyi.app/hc/en-us/articles/19321878309657-Before-Upgrading-to-New-Collaborate-from-Legacy-Collaborate-using-OneDrive,OK,True,True,1,
19276677173145,https://support.fyi.app/hc/en-us/articles/19276677173145-Resetting-your-connection-between-FYI-and-MYOB-Practice-Management-formerly-GreatSoft,OK,True,True,1,
18925916046873,https://support.fyi.app/hc/en-us/articles/18925916046873-Practice-Management-Sync-app,OK,True,True,1,
18057918489113,https://support.fyi.app/hc/en-us/articles/18057918489113-Sharing-Documents-using-New-Collaborate,OK,True,True,1,
17909748325785,https://support.fyi.app/hc/en-us/articles/17909748325785-Guide-to-Configuring-New-Collaborate,OK,True,True,1,
16809008543513,https://support.fyi.app/hc/en-us/articles/16809008543513-Synchronising-Clients-Users-and-Jobs-with-CCH-Central-United-Kingdom-only,OK,True,True,1,
16808757090713,https://support.fyi.app/hc/en-us/articles/16808757090713-Synchronising-Clients-Jobs-and-Users-with-IRIS-United-Kingdom-only,OK,True,True,1,
16780661667993,https://support.fyi.app/hc/en-us/articles/16780661667993-Practice-Sync-Integration-with-CCH-Central-United-Kingdom-only,OK,True,True,1,
14142338555161,https://support.fyi.app/hc/en-us/articles/14142338555161-Enabling-Task-Templates,OK,True,True,1,
12338455991705,https://support.fyi.app/hc/en-us/articles/12338455991705-Process-Step-Details-Alter-Document,OK,True,True,1,
9980265965337,https://support.fyi.app/hc/en-us/articles/9980265965337-Selecting-a-Client-in-the-Filing-Details-and-Refreshing-the-Clients,OK,True,True,1,
5207841974297,https://support.fyi.app/hc/en-us/articles/5207841974297-Synchronising-Clients-Matters-and-Users-with-APS-Australia-New-Zealand-only,OK,True,True,1,
4933821796121,https://support.fyi.app/hc/en-us/articles/4933821796121-Best-Practice-for-Standard-Jobs-and-Workflow-Jobs,OK,True,True,1,
4529320918297,https://support.fyi.app/hc/en-us/articles/4529320918297-Job-Summary-Tab,OK,True,True,1,
4410623875481,https://support.fyi.app/hc/en-us/articles/4410623875481-Synchronising-Clients-Users-and-Jobs-with-MYOB-AE-AO-Australia-New-Zealand-Only,OK,True,True,1,
4408718534041,https://support.fyi.app/hc/en-us/articles/4408718534041-Marketing-Unsubscribe,OK,True,True,1,
360058058492,https://support.fyi.app/hc/en-us/articles/360058058492-Setting-up-Automation-Processes,OK,True,True,1,
360057414392,https://support.fyi.app/hc/en-us/articles/360057414392-Internal-Reminder-to-Contact-Client,OK,True,True,1,
360057033152,https://support.fyi.app/hc/en-us/articles/360057033152-Synchronising-Clients-Users-Jobs-and-Tax-Returns-with-MYOB-Practice-Management-formerly-GreatSoft,OK,True,True,1,
360056194012,https://support.fyi.app/hc/en-us/articles/360056194012-Accessing-FYI-from-within-Office,OK,True,True,1,
360049537432,https://support.fyi.app/hc/en-us/articles/360049537432-Introducing-Shared-Folders-to-your-Clients-and-Sample-Email-for-Practices,OK,True,True,1,
360049117952,https://support.fyi.app/hc/en-us/articles/360049117952-Introducing-Collaborate-to-your-Clients-and-Sample-Email-for-Practices,OK,True,True,1,
360048763632,https://support.fyi.app/hc/en-us/articles/360048763632-Displaying-the-Jobs-Board,OK,True,True,1,
360044683472,https://support.fyi.app/hc/en-us/articles/360044683472-Custom-Processes-using-Views-and-Summary-Notifications,OK,True,True,1,
